"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)"
游戏策划(Game Designer),6-8千/月,7000,维塔士电脑软件（成都）有限公司,外资（欧美）,500-1000人,成都市青羊区文武路9号光大金融中心09楼,3592,1649,公共交通,若干人 | 大专 | 1年工作经验 | 英语 熟练,2017-02-22,"
为3D的PC, Console和网络游戏设定游戏规则，功能和关卡，为制作团队编写相应文档。1.专科以上学历, 专业不限。 具有一定的艺术功底和文字功底； 2.熟练掌握以MS Office，Photoshop等，英文读写熟练，口语优秀者优先考虑； 3.至少1年以上网络游戏或次时代游戏策划工作经验； 4.深入了解游戏，并且热衷于游戏制作。5.热衷于手机游戏优先福利待遇：享有每年15天的带薪休假 工作室饮料水果供应 工作日午餐费补贴 五险一金，商业保险 专门游戏室，视频游戏体验 年度体检，年度旅游 其他丰富的集体活动 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=45001338
营销策划（网站策划）,4-8千/月,6000,四川希望教育产业集团有限公司,民营公司,1000-5000人,贝森北路5号西村五号大厦4A.4B,9572,2500,公共交通,1人 | 学历不限 | 工作经验不限,2017-02-22,"
						一营销策划(网站策划)：
职责：
1.负责集团旗下院校和公司网站栏目及功能的策划任务；
2.负责集团旗下院校和公司网站线上活动策划及实施；
3.负责本部门、跨部门业务沟通、设计工作协调、进度管理以及研发产品用户验收。
要求：
1、专科科以上学历，文科相关专业，一年以上策划经验；
2、文笔流畅，有较强的文字写作功底和表现力，能熟练拟写通讯、新闻、广告软文等常用文体，热爱创意性工作；
3、思维活跃、思路开阔，富有原创精神，善于准确把握项目的特性与项目的策划方向，具有良好的专业预见性与超前性。能准确把握项目的目标受群定位、市场定位、功能定位、形象定位与价格定位策略；",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83203310
招商策划经理（策划方向）,0.8-1万/月,9000,四川鼎晟资产管理有限责任公司,民营公司,10000人以上,成都市武侯区航空路7号华尔兹广场A座4楼,8355,2204,公共交通,1人 | 学历不限 | 工作经验不限,2017-02-22,"
						岗位职责：
1、组织制定项目前期拿地评估及概念方案
2、主导完成产品策划，建筑产品建议
3、组织完成商业规划、定位、落位方案的制作
4、主导招商/推广策略的制作
5、配合编制项目后期运营相关支撑方案
6、组织完成配合招商相关文案工作
7、配合完成体系的建设与完善
8、整体把控各项招商任务，充分协调各方关系
9、配合招商团队培训统筹
10、配合把控各项目重要策略与节点
11、完成上级领导安排的其他工作
任职资格：
1、大专及以上学历，房地产经营管理、市场营销、广告等相关专业；
2、3年以上大型商业地产项目或大型购物中心的招商策划管理经验；
3、熟悉产品市调规划，知识面广，表达力强",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84437714
策划经理,15-20万/年,14583.33,成都金林嘉华置业投资有限公司,民营公司,500-1000人,成都市锦江区滨江路9号香格里拉中心办公楼19楼,1767,1716,公共交通,1人 | 大专 | 8-9年工作经验,2017-02-22,"
						1、 负责制定项目全程策划包括项目前期定位、产品定位、市场营销方案及推广；
2、 策划项目的组织、实施、监督、控制、协调、分析、修正、评估、报告等；
3、 主持营销战略策划、产品战略策划、市场推广策划、促销策划、品牌战略策划、广告策划、价格策划等，并形成系统性报告；
4、 根据公司经营管理的要求，做好房地产市场基础研究工作和各项目竞争楼盘数据收集；
5、 根据公司年度经营计划，组织编制部门和各项目工作计划，并负责监督落实；
6、 负责部门工作安排，指导下属人员完成各项工作；
7、 负责直接下属的绩效管理工作，帮助下属提高工作绩效；
8、 按时按要求完成上级临时分派",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84664904
市场策划,6-8千/月,7000,成都树人企业管理服务有限公司,民营公司,500-1000人,成都市青羊区提督街88号四川建行大厦,2015,976,公共交通,2人 | 大专 | 3-4年工作经验,2017-02-22,"
						一、岗位职责描述
1、负责公司各项目活动策划、营销策划与执行。
2、负责公司内部刊物及对外宣传资料的策划与制作。
3、负责各类营销文案的策划和撰写，包括销售文案、活动策划文案、H5详情页文案、品牌宣传语，门店pup宣传板书等等，对文案的转化率等效果指标负责。
4、负责文案（包括宣传资料等)撰写、方案设计报告及实施报告。并参与执行。
5、负责并协调组强公司企业文化的建设、宣传工作。
 6、全程策划各类营销活动，撰写策划文案和活动计划，。
 7、持续收集各类优秀文案，整理分类，建立文案库。
 8、协助项目推广的工作任务、企业形象、品牌形象、商业化包装的策划大型市场活动、设计方案；
",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83012587
手机游戏策划（可应届）,6-8千/月,7000,优越国际控股集团有限公司,外资（非欧美）,500-1000人,成都市大慈寺路22号5号楼,414,41,的士,2人 | 本科 | 无工作经验,2017-02-22,"
						岗位要求：
1、	协助主策和系统策划进行游戏的各个系统辅助和细化设计；
2、	能遵循游戏现有的设计思路进行简单系统玩法、场景关卡及部分任务的设计；
3、	和程序与美术配合，使用相关工具，对游戏资源进行整理、编辑及脚本撰写工作。
任职要求：
1、	热爱游戏、有丰富的单机、网游、手游戏经验；
2、	善于分析，对游戏有一定的全局把握能力，对游戏的系统和数据结构有基本的认识；
3、	有良好的逻辑思维能力，创造性学习能力，关于语言文字的表达；
4、	工作态度认真负责，具备吃苦耐劳的精神，有团队合作精神，良好的适应能力；
5、	喜爱游戏、动漫、电影等，具备丰富的知识和突破性思维；
6、有经",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=76360909
策划经理,0.5-5万/月,27500,成都拓亚房地产经纪有限公司,民营公司,,领事馆路7号保利中心南塔2102,7241,2047,公共交通,1人 | 大专 | 2年工作经验,2017-02-22,"
						岗位职责：
1.可独立制定项目总体、分阶段的营销策划、市场推广计划并有效执行，制定销售方案、策略和实施方案并有效执行；
2.熟悉房地产销售和售后服务管理，熟练掌握各种销售模式，富于创新精神；
4.具有较强的公关协调能力、良好的客户服务意识；
5.具有追求卓越、精益求精的工作精神，较强的目标感和行动力；
6.具有较强的执行力力、工作规划能力、组织实施能力、沟通协调能力，能有效地对项目整体工作进行质量把关；

任职要求：
1.专科以上学历，房地产管理、建筑工程、工商管理（市场销售）、广告、新闻、经济类等相关专业；
2.二年以上房地产营销管理工作经验，主持过2个以上房地产项目的营销管",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85191345
房地产开发/策划经理,1-1.5万/月,12500,成都星泓投资有限公司,民营公司,500-1000人,成都市高新区天府大道中段天府四街66号(航兴国际2座4楼),16458,3370,公共交通,1人 | 学历不限 | 工作经验不限,2017-02-22,"
						岗位职责：
1. 负责公司项目营销活动策划、组织和具体实施；
2. 负责公司项目产品品牌形象宣传、形象推广、形象监控；
3. 负责公司经营战略、营销策略和竞争策略的策划、实施；
4. 整合广告公司等，开展专项策划及宣传推广工作；
5. 完成领导交办的其他工作任务。
岗位要求：
1. 专科以上学历；
2. 3年以上房地产从业经历，具备项目研究与策划能力及良好的文化底蕴及审美欣赏力，有创意性思维；3. 有丰富的第三方合作单位沟通对接经验，并有一定的管理能力和成本控制能力；
4. 成熟、稳重、能承受较大的工作压力，具备很强的沟通协作能力及团队协作能力，责任心强。		",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=75431305
策划经理,1-1.5万/月,12500,成都融创泽辉房地产开发有限公司,上市公司,1000-5000人,高新区奥克斯广场A座,10942,2603,公共交通,1人 | 本科 | 3-4年工作经验,2017-02-22,"
 岗位职责：  1、负责公司项目营销总体策划，包括品牌、营销、销售策略的制定和执行工作；  2、进行项目前期调研工作，研究项目的市场需求、客户需求、项目定位等；  3、熟悉房地产全程运作及策划推广方式，能对项目定位及运营等环节制定策略和营销方案；  4、实施房地产项目的前期工作，能独立撰写各类项目策划报告；  5、给予项目营销、销售全面工作策划性建议。   任职要求：  1、本科以上学历，市场营销相关专业优先；  2、3年以上一线房地产策划经验；  3、有豪宅、改善项目策划经验优先；  4、熟悉房地产开发企业作业流程，有完整的策划思路。  ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83347462
活动策划经理,12-20万/年,13333.33,中航成都航逸科技有限公司,国企,1000-5000人,成都市高新区益州大道北段777号中航国际交流中心A座,13014,2863,公共交通,1人 | 本科 | 工作经验不限,2017-02-22,"
						岗位职责：
1、根据公司整体目标编制年度主题活动计划和阶段性工作安排；
2、根据工作需要完成活动策划相关制度编制和修订；
3、负责公司活动策划管理；
4、建立、健全广泛的客户资源体系和活动合作计划。
职位要求：
1、本科以上学历，市场、传播、新闻等相关专业；
2、3年以上工作经验，有主题乐园工作经验优先；
3、较强的策划能力、文字功底和语言表达沟通能力，擅长沟通表达；
4、有团队协作精神，有责任心，有良好的敬业精神。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85503854
品牌策划,0.7-1万/月,8500,四川浪度投资有限公司,民营公司,1000-5000人,新都工业区东区1080号（梁家巷（650路）西南石油大学（679路）浪度家私，向南走300米；梁家巷（650路）新都汽车东站（9路）宏昌塑料，向西走500米。）,2386,1272,公共交通,1人 | 本科 | 3-4年工作经验,2017-02-22,"
						岗位职责
1、负责策划品牌发展方案的撰写和统筹、组织搭建品牌管理工作体系，建立与维护公司产品品牌的定位。
2、负责品牌推广、确保品牌识别和应用，并持续提升品牌竞争力；
3、负责企业落地公关活动策划与组织、创造和维护品牌的一致性；
4、负责策划企业广告片及产品专题片（品牌片、产品片、产品功能专题片）等；
5、负责完善企业文化、公益事业等方案策划，提升公司员工归属感；
岗位要求：
1.熟悉网络传播，市场营销等，具备扎实的品牌营销理论功底与市场实际操作能力；
2.具备良好的沟通与表达能力，对品牌塑造、市场推广等有深刻的领会；
3.具有丰富的逻辑思维能力、想象力、知识面广，才思敏捷，较",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85306484
市场策划/活动策划,0.5-1万/月,7500,成都市泽南贸易有限公司,民营公司,500-1000人,成都市建设北路三段301号泽南大厦4楼人事部,5479,2614,公共交通,1人 | 大专 | 3-4年工作经验,2017-02-22,"
						岗位职责：
1.负责对零售百货门店的活动需求进行沟通，根据营运部要求，结合市场及商场情况，制定有创意的年度活动策划方案
2.负责针对公司新品制定可行有创意的新品推广方案
3.负责新区域市场，为新开门店制定有效的开业活动方案，利用开业活动在拉动销售
4.负责门店每月常规主题活动策划
5.负责对门店活动销量的预估，以及成本的预算
6.负责门店活动执行进行指导和协调
7.负责对门店活动效果的评估和分析，并提出意见和建议
8.负责和设计人员制定有效的活动宣传物料，并对门店宣传制定可操作的操作方案，并对各类广宣品持有建议权
9.领导安排的其他事宜

任职资格：
1.25-35岁，大专以上",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=82395523
策划主管/专员（商业）,6-8千/月,7000,恒大地产集团成都有限公司,上市公司,1000-5000人,提督街99号恒大中心,2271,1180,公共交通,2人 | 本科 | 工作经验不限,2017-02-22,"
						岗位职责：
一、策划推广
1、参与各项目规划设计工作，根据各项目定位和未来发展，提出建议；
2、提交商业项目总体策划，对项目和产品提出明确的策划报告；
3、完成各项目总体推广方案，组织各类媒体、广告公司、策划代理、活动公司等协作单位参与完成；
4、根据各项目经营情况，配合制定合理的业态优化方案，并组织实施；
二、媒体活动
1、拟定商业公司品牌及推广策略，并组织实施；
2、利用各种资源，整广告设计、各类媒体、制作单位，并根据各项目定位，合理调动满足各项目推广的需要；
3、策划、实施商业公司形象、品牌活动、宣传；
4、负责公司对外宣传册管理：包括提供素材、审定设计方案等；5、负责公",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=73019779
策划师/策划经理-链家策划中心,0.6-1万/月,8000,四川链家房地产经纪有限公司,民营公司,10000人以上,武侯区龙腾东路36号中海大厦五楼链家地产,10296,3170,公共交通,3人 | 本科 | 2年工作经验,2017-02-23,"
						岗位职责：
1、进行竞品市场调研，形成分析报告，组织培训；
2、能对项目提出营销策略方向建议、推广活动、销售政策支持建议等；
3、对案场高销进行行业专业知识、区域规划、市场动态信息等培训，帮助解决一线问题；
4、搜集项目客户问卷，撰写客户分析报告，组织培训；
5、辅助策划经理进行专项大型报告的撰写工作；
6、协助公司其他版块业务进行技术和数据支持工作。
 
任职资格：
1、 25岁以上，本科以上学历，经济、金融、管理、房地产、市场营销等相关专业优先；
2、 具备良好的策划能力和管理素质，有专业代理公司策划经验者优前考虑；
3、 熟悉各种房地产产品的特性，有",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85907770
管理培训生、策划、文案、人事招聘、培训,10-15万/年,10416.67,太平人寿保险有限公司四川分公司,国企,10000人以上,青羊区顺城大街308号冠城广场,3166,1616,公共交通,12人 | 本科 | 1年工作经验,2017-02-23,"
						职位描述：
国家副部级央企，三年再造之后迎来全新的三年“高素质、高绩效、高品质”战略发展计划，欢迎您的加入！

面试流程：
1、初试：职业性向测试，结构化面试
2、复试：无领导小组讨论，笔试
4、终试：公司高层压力面试

任职资格：
1、本科及以上学历，1年以上工作经验，年龄在22-45周岁，男女不限；
2、了解经济、金融、管理等专业知识（不熟悉者要接受本公司培训），有金融会计、人力资源、行政工作、培训讲师经验者优先；
3、具有较强的沟通与组织协调能力及亲和力；
4、具有良好的语言表达能力及分析判断能力；
5、有积极进取的精神及接受挑战的性格；
6、具有",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80666093
链家地产策划师,6-8千/月,7000,四川链家房地产经纪有限公司,民营公司,10000人以上,武侯区二环路西一段中海大厦12楼,10296,3170,公共交通,若干人 | 大专 | 2年工作经验,2017-02-23,"
						岗位职责： 1、进行竞品市场调研，形成分析报告，组织培训； 2、能对项目提出营销策略方向建议、推广活动、销售政策支持建议等； 3、对案场高销进行行业专业知识、区域规划、市场动态信息等培训，帮助解决一线问题； 4、搜集项目客户问卷，撰写客户分析报告，组织培训； 5、辅助策划经理进行专项大型报告的撰写工作； 6、协助公司其他版块业务进行技术和数据支持工作。 任职资格： 1、 25岁以上，本科以上学历，经济、金融、管理、房地产、市场营销等相关专业优先； 2、 具备良好的策划能力和管理素质，有专业代理公司策划经验者优前考虑； 3、 熟悉各种房地产产品的特性，有大型全程营销策略报告的撰写",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84221393
营销策划,6-8千/月,7000,巨景证券金太阳投顾中心,民营公司,500-1000人,高新区金融城中航国际广场A座22楼2203号,12829,2715,公共交通,2人 | 大专 | 工作经验不限,2017-02-23,"
						岗位职责：
1、负责组织搜集相关行业政策、竞争对手信息、客户信息等，分析市场发展趋势；
2、根据公司发展战略组织制定营销战略规划；
3、负责市场调研，目标市场分析，市场营销定位的把握，根据需要撰写调研报告；
4、协助的撰写公司营销话术；
5、营销策划活动的组织、执行、协调以及在执行过程中的监控和调优。
任职要求：
1、1年以上营销策划经验
2、有一定的文字功底，语言组织能力强 ；
3、有金融行业从业经验者优先 ；
4、做过电话销售或网络营销经验者优先。
巨景金太阳品牌优势：
1、8小时工作制，国家所有法定节假日正常休假；
2、5A级高档写字楼办公，拥有轻松、舒适、靓丽的工作环境",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=78176169
营销策划和执行,4.5-9千/月,6750,贵州千禧绿色环保出租汽车服务有限公司成都分公司,民营公司,500-1000人,成都市高新区天府大道中段500号东方希望天祥2栋13层,15099,2902,公共交通,若干人 | 学历不限 | 工作经验不限,2017-02-23,"
						1、 负责神马专车品牌的包装、推广和宣传；
2、 产品线上线下推广活动的策划及执行；
3、 活动效果和数据分析；
4、 业内竞争对手相关活动收集与分析。

任职资格：
1、本科及以上学历，广告、市场营销相关专业；
2、2年以上品牌管理工作经验，有独立运作新品牌定位和上市的成功经验；
3、公关媒体品牌推广运作，具有出色的品牌策略能力及整合传播技巧；
4、具有出色提案能力和沟通技巧，有大型相关策划实务操作经验及成功品牌策划案；
5、具有团队意识以及执行能力，勇于承担高强度的工作压力；
6、思维活跃，善于学习和提升自我，具有创新精神；
7、熟悉互联网行业，有丰富",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=81007426
创意策划经理,0.6-1.2万/月,9000,贵州千禧绿色环保出租汽车服务有限公司成都分公司,民营公司,500-1000人,成都市高新区天府大道中段500号东方希望天祥2栋13层,15099,2902,公共交通,若干人 | 本科 | 3-4年工作经验,2017-02-23,"
						岗位职责：
1、负责品牌线上营销活动策划及落地执行；
2、负责微信、微博等线上社交/社区平台的日常运营统筹，内容构思，文案撰写；
3、跟踪互联网热点及新闻实时同步，并能够第一时间反馈高传播性内容；
4、负责在社交媒体中、线下媒体沟通，以增加平台的用户活性、提高内容质量；
5、负责对社交活动的效果进行分析、反馈及汇报，并能够及时进行调整改进以提高最终效果。

任职要求：
1、本科及以上学历，市场营销、广告、新闻或相关专业；
2、3年以上互联网/移动互联网营销策划、市场策划、口碑营销等相关职位经验；
3、具有极强的创意、策划能力，有清晰的市场营销思路，优秀的文字功",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84993326
企业策划师,6-8千/月,7000,深圳普惠快捷金融服务有限公司,民营公司,5000-10000人,成都高新区天府大道北段1700号环球中心N2区1702室,12035,3047,公共交通,1人 | 本科 | 2年工作经验,2017-02-23,"
						职位要求：
1、负责公司员工活动策划（线上、线下）并组织实施，重激励、互动性强；
2、建立企业文化体系；
3、视频剪辑、平面设计；
4、各类文案撰写；
任职要求：
1、熟练操作PS、CorelDRAW、AI、Pr、AE等工具；
2、具有良好的市场分析和创新思维能力，善于撰写活动策划方案
3、熟练使用各类办公软件，有很强的文字功底
4、具有较强的适应能力以及良好的沟通合作能力
5、具备良好的职业素养及团队合作精神，能在重压下工作						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85023520
链家地产策划师,6-8千/月,7000,四川链家房地产经纪有限公司,民营公司,10000人以上,武侯区二环路西一段中海大厦12楼,10296,3170,公共交通,若干人 | 大专 | 2年工作经验,2017-02-23,"
						岗位职责： 1、进行竞品市场调研，形成分析报告，组织培训； 2、能对项目提出营销策略方向建议、推广活动、销售政策支持建议等； 3、对案场高销进行行业专业知识、区域规划、市场动态信息等培训，帮助解决一线问题； 4、搜集项目客户问卷，撰写客户分析报告，组织培训； 5、辅助策划经理进行专项大型报告的撰写工作； 6、协助公司其他版块业务进行技术和数据支持工作。 任职资格： 1、 25岁以上，本科以上学历，经济、金融、管理、房地产、市场营销等相关专业优先； 2、 具备良好的策划能力和管理素质，有专业代理公司策划经验者优前考虑； 3、 熟悉各种房地产产品的特性，有大型全程营销策略报告的撰写",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84574449
链家地产策划师/策划经理,0.8-1万/月,9000,四川链家房地产经纪有限公司,民营公司,10000人以上,武侯区二环路西一段中海大厦12楼,10296,3170,公共交通,若干人 | 大专 | 2年工作经验,2017-02-23,"
						岗位职责： 1、进行竞品市场调研，形成分析报告，组织培训； 2、能对项目提出营销策略方向建议、推广活动、销售政策支持建议等； 3、对案场高销进行行业专业知识、区域规划、市场动态信息等培训，帮助解决一线问题； 4、搜集项目客户问卷，撰写客户分析报告，组织培训； 5、辅助策划经理进行专项大型报告的撰写工作； 6、协助公司其他版块业务进行技术和数据支持工作。 任职资格： 1、 25岁以上，本科以上学历，经济、金融、管理、房地产、市场营销等相关专业优先； 2、 具备良好的策划能力和管理素质，有专业代理公司策划经验者优前考虑； 3、 熟悉各种房地产产品的特性，有大型全程营销策略报告的撰写",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83833755
链家地产策划师,6-8千/月,7000,四川链家房地产经纪有限公司,民营公司,10000人以上,武侯区二环路西一段中海大厦12楼,10296,3170,公共交通,若干人 | 大专 | 2年工作经验,2017-02-23,"
						岗位职责： 1、进行竞品市场调研，形成分析报告，组织培训； 2、能对项目提出营销策略方向建议、推广活动、销售政策支持建议等； 3、对案场高销进行行业专业知识、区域规划、市场动态信息等培训，帮助解决一线问题； 4、搜集项目客户问卷，撰写客户分析报告，组织培训； 5、辅助策划经理进行专项大型报告的撰写工作； 6、协助公司其他版块业务进行技术和数据支持工作。 任职资格： 1、 25岁以上，本科以上学历，经济、金融、管理、房地产、市场营销等相关专业优先； 2、 具备良好的策划能力和管理素质，有专业代理公司策划经验者优前考虑； 3、 熟悉各种房地产产品的特性，有大型全程营销策略报告的撰写",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83456279
项目经理（销售策划）,15-20万/年,14583.33,成都富力地产开发有限公司,上市公司,500-1000人,成都市顺城大街269号富力中心17楼,2694,1449,公共交通,1人 | 本科 | 5-7年工作经验,2017-02-23,"
						工作职责：
1.负责项目运作中具体的策划统筹及策划管理；协助项目经理跟进营销策划、监控工程进度、产品设计方案、现场推广布置、销售资料制作等。
2.对现场销售人员进行销售培训考核及指引，了解销售现场的状况，及时对于一些紧急的问题进行处理。
3.制定每月（周）促销计划、工作计划；制定每月推广费用的预算表及媒介安排，每周跟进平面广告的定稿及确定户外广告、电视、广播等制作；检查现场情况及确定现场推广布置方案；
4.与内部相关部门（工程设计部、物业公司）协调，推动售楼部、样板房等按要求交付使用。

任职资格：
1.35岁以下，统招大学本科以上学历，市场营销或房地产相关专业；
2.3年以上",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=53163809
营销策划/文案策划,4-8千/月,6000,成都蓝海基业信息技术有限公司,民营公司,500-1000人,成都市高新区益州大道北段777号中航国际交流中心B座,13014,2863,公共交通,1人 | 大专 | 3-4年工作经验,2017-02-23,"
						岗位主要职责：

1、 负责公司产品文案策划以及品牌宣传文案撰写；

2、 负责挖掘公司产品亮点与卖点，制定营销方案；

3、 负责对接公司客户营销业务定制项目需求，文案以及方案审核，协作项目组完成生产；

4、 配合运营负责线上和线下品牌、产品、活动宣传与策划以及文案编辑；

5、 对接设计完成相关物料准备与设计制作，协助推广落地执行；

6、 收集好的公司和产品广告创意，整理并提出宣传理念以及软文撰写。

完成公司交办的其他策划工作。

任职要求：

1、 本科及以上中文、新闻、传媒、广告、市场营销、电子商务等相关专业毕业，有扎实的文字功底，擅长于语言和文",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85263747
营销策划经理,1-1.5万/月,12500,四川红泰房地产开发有限公司,民营公司,500-1000人,成都市清江东路8号清江花园综合楼四楼,6516,1976,公共交通,1人 | 本科 | 5-7年工作经验 | 英语 熟练,2017-02-23,"
						工作内容：
1、负责公司及产品品牌形象策划与品牌管理；
2、参与公司战略策划的研究与定位，为营销方案提供市场依据；
3、协助部门总监，制定部门日常工作计划并组织计划的实施、协调、检查及评价；
4、协助部门总监加强部门内部员工培训及队伍建设；
5、收集有关房地产的信息，掌握市场动态，分析销售和市场发展状况，提出书面报告及针对性意见；
6、参与公司新项目拓展的可研工作，完成项目市场定位及策划报告；撰写项目前、中、后期策划方案；
7、参与新项目获取后的规划方案评审，提出产品组合、户型配比、交房标准的相关建议；
8、协助进行销售代理公司比选及代理合同的签定，审核销售组织方案，监督销售代",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77266114
策划经理,6-8千/月,7000,成都顶呱呱投资集团有限公司,民营公司,1000-5000人,成都市武侯区科华北路世外桃源酒店写字楼2层、3层,4698,1819,公共交通,1人 | 中专 | 5-7年工作经验,2017-02-23,"
						岗位职责：
1、策划与组织各种具体的活动，合理协调好各部分工作的分工与合作；
2、负责公司产品线上线下宣传推广及包装；
3、指导制作各种宣传材料、产品说明书、销售支持材料等；
4、独立完成广告策划方案、品牌推广方案；
5、协助、指导与支持销售渠道开展业务拓展。
任职要求：
1、男女不限,25-32岁,大专及以上学历；
2、拥有至少3年以上广告营销策划、推广、活动执行相关经验；
3、具备较强的文案、策划基础功底；
4、熟悉品牌的营销、运营及及推广模式；
5、沟通能力强，拥有活动策划执行以及装饰行业工作经验优先考虑；
工作地址
一环路东五段46号天紫界商业",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83962674
策划主管,6-8千/月,7000,戴氏教育集团,民营公司,10000人以上,成都顺城街顺吉大厦九楼A2,2878,1386,公共交通,5人 | 大专 | 1年工作经验,2017-02-23,"
						【岗位职责】
1、熟悉活动的创意、策划及执行工作流程，有大型活动的策划及组织实施工作经验；
2、能够独立完成活动方案的撰写，包括撰写完整的项目策略方案、活动策划方案、细化执行方案等，有成功案例；
3、对品牌信息、活动推广有深刻的理解，具有充分实践经验；
4、具备扎实的策划功底和敏锐的策略思维，对市场有独到的见解和观点；
5、思维敏锐，对市场信息的把握及反映速度快，创意及整合能力强，能够开拓性的开展工作。

【任职要求】
1、市场营销、传媒、中文或相关专业本科及以上学历；
2、3年以上教育行业类领域文案策划、活动策划经验；
3、思路清晰，具思维创意，文笔流畅；",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=78373763
营销策划经理/营销策划师,1-1.5万/月,12500,四川蓝光和骏实业有限公司成都分公司,上市公司,10000人以上,高新西区西芯大道9号,3715,1555,公共交通,2人 | 大专 | 3-4年工作经验,2017-02-23,"
						岗位职责：
1、对项目基础营销管理业务结果负责
2、全面完成项目营销策划各项策略并保证执行
3、根据项目需要，全面协助项目成员完成营销工作推进
任职要求：
1、本科及以上学历
2、房地产、营销、工商管理等相关专业
3、三年及以上相关工作经历（甲乙方房地产策划经验丰富）
4、拥有一线地产完整项目策划经验优先考虑。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=78968615
产品策划经理,15-30万/年,18750,四川蓝光和骏实业有限公司成都分公司,上市公司,10000人以上,高新西区西芯大道9号,3715,1555,公共交通,若干人 | 本科 | 工作经验不限,2017-02-23,"
						一、岗位职责：职责一	土地投资协作
工作任务	1、负责编制项目预策划报告
2、与技术部门协作，完成拿地设计方案
3、与成本、预算部门协作，完成项目成本、预算工作
职责二	项目定位策划
工作任务	1、负责编制项目统筹策划报告和总体策划报告
2、与技术部门协作，深化项目设计方案（含展示区、样板房、景观等）
3、与成本、预算部门协作，深化项目成本、预算工作
职责三	创新产品研发
工作任务	1、参与在项目的推进过程中进行新产品的研发
2、参与公司领导交予的专项产品研发任务
职责四	项目后评价工作
工作任务	1、负责编制产品策划体系开盘后评价
2、负责编制产品策",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=71985568
游戏策划（可应届）,6-8千/月,7000,成都青鸟信息技术教育发展有限公司,合资,500-1000人,成都市锦江区大慈寺路22号大唐商务中心5号楼,441,72,的士,2人 | 本科 | 工作经验不限,2017-02-23,"
						岗位职责：
1、	协助主策和系统策划进行游戏的各个系统辅助和细化设计；
2、	能遵循游戏现有的设计思路进行简单系统玩法、场景关卡及部分任务的设计；
3、	和程序与美术配合，使用相关工具，对游戏资源进行整理、编辑及脚本撰写工作。
任职要求：
1．大专以上学历、喜欢游戏
2．对于游戏设计有自己的看法和见解
3．书面语言表达能力强 
4.较强的数学能力，逻辑思维；
5.熟练掌握PS、visio，色彩搭配
6.有原画、素描、色彩或音乐等专业训练
7善于沟通，学习能力较强、做事认真；
8.数值策划和主策划各一名，游戏储备人才						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=76581201
市场策划经理,0.8-1万/月,9000,四川菊乐食品有限公司,民营公司,500-1000人,成都市一环路西一段菊乐路19号,8251,2816,公共交通,1人 | 大专 | 工作经验不限,2017-02-23,"
						工作职责： 1、负责开展公司营销企划工作，协助总监进行公司长期市场营销策略、品牌形象规划的研究，编制、实施，并进行跟踪及时修正方案； 2、负责拟订并监督执行公关及促销活动计划，计划安排年、季、月及专项市场推广策划。 3、负责编制各类宣传推广费用的计划，监控预算执行情况并及呈报； 4、负责相关项目的营销策划、文案编辑、平面制作、宣传推广、媒体选用等工作； 5、负责与外部媒体、政府机关及相关社会机构建立良好的合作关系； 6、组织实施市场、产品、消费者竞争状况等调研活动，对各类信息进行汇总与分析，支持企业的持续发展、新产品开发、营销战略等； 7、指导参与市场的开拓、渠道管理、内部员工",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77194072
